,statute_code,charge_descriptions,charge_class,charge_label,Reason
1135,PS.5.314,['Handgun-Wear/Cary Infl Alc' 'HANDGUN-WEAR/CARY INFL ALC'],['Misdemeanor'],5M,
1021,PS.6.602.(b),['OBSTRUCT FIRE MARSH INVEST'],['Misdemeanor'],5M,
542,PS.7.402.(a),['OBSTRUCT FIREFIGHTERS ETC.'],['Misdemeanor'],5M,
1029,PS.7.402.(b),['PERS: MEMBER EMERG SQUAD'],['Misdemeanor'],5M,
1126,RP.10.506,['Fail To Include Disclosure/Certificate'],['Misdemeanor'],5M,
1212,RP.14.111,['OBLIT/DAM/REM PROP MARKER'],['Misdemeanor'],5M,
1064,TG -13-1001 -D - -,['WILLFUL FAIL FILE INCOME TAX RETURN'],['Misdemeanor'],5M,
1512,TG -13-1002 -B - -,['MAKE FRAUDULENT INCOME TAX RETURN'],['Misdemeanor'],5M,
1561,TG.11.712,['BUS. AS VENDOR W/O LICENSE'],['Misdemeanor'],5M,
485,TG.12.305,"['Possess/Sell Unstamped Cigarettes' 'Poss/Sale No Stamp Cig -30 Ctns'
  'Possession of Unstamped Cigarettes'
  'Possession Of Unstamped Cigarettes Over 30 Cartons'
  'Possess Unstamped Cigarettes']",['Misdemeanor'],5M,
882,TG.12.305.(a),['Possess/Sell Unstamped Cigarettes'],['Misdemeanor'],5M,
1109,TG.13.1001.(d),['Fail To File: Maryland Income Tax Return'],['Misdemeanor'],5M,
1563,TG.13.1001.(e),['SALES AND USE TAX'],['Misdemeanor'],5M,
1078,TG.13.1002.(b),['WILLFULLY FILE FALSE RETURN'],['Misdemeanor'],5M,
767,TG.13.1004,['Fraud Return - Income Tax'],['Misdemeanor'],5M,
1562,TG.13.1005.(a),['FAIL PAY ADM/AMUSEMENT TAX'],['Misdemeanor'],5M,
1390,TG.13.1014,['Cigs. Sale Of Unstamped'],['Misdemeanor'],5M,
469,TG.13.1014.(a)(2),['CIGS. SALE OF UNSTAMPED' 'CIGS. POSS OF UNSTAMPED L/T 30'],['Misdemeanor'],5M,
849,TG.13.1014.b,['TOBACCO PROD W/O TAX PAID'],['Misdemeanor'],5M,
1023,TG.5.302,['ALCOHOL TX UNPAID SALE&POS'],['Misdemeanor'],5M,
746,TR -16-112 -E - -,['MV-GIVING FALSE ID TO POLICE'],['Misdemeanor'],5M,
1432,TR.13.616.(i),['Fraud/Misrep-Disab Plates'],['Misdemeanor'],5M,
28,CR.5.602,"['Cds Possess With Intent To Distribute' 'CDS:POSS W/INT MANF/DISTR/DISP'
 'CDS-UNLAWFUL MFGR ETC' 'Cds Distribute - Other' 'CDS MANUF/DISTRIBUTE'
 'CDS POSS W/INT TO DIST' 'Cds Manufacture/Distribute'
 'CDS: Distribute-crack cocaine' 'CDS DISTRIBUTE - OTHER'
 'CDS Possess With Intent To Distribute' 'Cds Distribute - Marijuana'
 'Cds Possess With Intent To Distribute-Marijuana'
 'Cds Possess With Intent To Distribute Crack/Cocaine'
 'Cds Possess With Intent To Distribute Cocaine' 'Cds: Distribute-Cocaine'
 'CDS POSS W/I MANUF/ETC PCP' 'Cds:Possess With Intent Distribute:Pcp/Lsd'
 'Cds Possess With Intent To Distribute:Marijuana' 'CDS:MFG/DIST-PCP/LSD'
 'CDS: POS W/I DIST: PCP/LSD/HAL' 'CDS:POS W/I DIST:PCP/LSD'
 'CDS: DIST-PCP/LSD' 'POSS W/INT TO DIST'
 'Cds Possess With Intent To Distribute Marijuana'
 'Cds Possess With Intent To Distribute-cocaine' 'Cds Manufacture'
 'Cds Distribute - Other (Marijuana)' 'Cds Manufacture/Distribute-Cocaine'
 'CDS POSS W/INT TO DIST (Marijuana)'
 'Cds Possess With Intent To Distribute (marijuana)'
 'Cds Manufacture/Distribute-MARIJUANA'
 'Cds Manufacture/Distribute-Crack/Cocaine'
 'Cds Manufacture/Distribute (Marijuana)'
 'Cds Possess With Intent To Distribute - MARIJUANA'
 'Cds:Distribute-Pcp/Lsd' 'Manufacture Marijuana'
 'CDS: DIST-PCP/LSD/HALLUCINOGEN'
 'Cds Possess With Intent To Distribute - Marijuana'
 'Cds Distribute - Other (Alprazolam)' 'Cds: Distribute: crack cocaine'
 'Cds:Distribute-Cocaine' 'Cds Manufacture/Distribute: Marijuana'
 'Cds Distribute - Marijuana/THC'
 'Cds Possess With Intent To Distribute (Marijuana)'
 'Cds Distribute - Crack/Cocaine'
 'Cds Manufacture/Distribute Crack/Cocaine'
 'Cds Possess With Intent To Distribute- Marijuana'
 'Cds Possess With Intent To Distribute - Crack/Cocaine'
 'Cds Distribute - Other (Methamphetamine)'
 'Cds Distribute - Other (marijuana)'
 'Cds Manufacture/Distribute-Oxycodone'
 'CDS Possess With Intent To Distribute (marijuana)'
 'Conspiracy-Cds Possess With Intent To Distribute'
 'Cds:Distribute Oxycodone' 'Cds Manufacture/Distribute Marijuana'
 'Cds Possess With Intent To Distribute Crack/Cocain'
 'Cds Manufacture/Distribute (Cocaine)'
 'Cds Possess With Intent To Distribute Marihuana'
 'Cds Possess With Intent To Distribute - Marijuana/THC'
 'Cds Possess With Intent To Distribute Methamphetamine'
 'Cds Possess With Intent To Distribute/MARIJUANA'
 'Cds Possess With Intent To Distribute (Marihuana)'
 'Cds Possess With Intent To Distribute marijuana'
 'Cds Possess With Intent To Distribute (marihuana)'
 'Cds Possess With Intent To Distribute - Cocaine'
 'Cds Possess With Intent To Distribute-Marihuana'
 'Cds Distribute - Buprenorphine and Naloxone'
 'Cds Manufacture/Distribute-Morphine' 'Cds: Distribute'
 'CDS Possess With Intent To Distribute (Marijuana)'
 'CDS POSSESS WITH INTENT TO DISTRIBUTE; CJIS#: 10233'
 'Cds: Distribute - Marijuana' 'CDS: Pos W/I Dist: Pcp/Lsd/Hallucinogen'
 'Cds Distribute - Cocaine'
 'Cds Manufacture/Distribute Methylenedioxy-Methamphetamine (MDMA)'
 'Cds Manufacture/Distribute Marijuana/THC'
 'Cds Manufacture/Distribute Marijuana THC'
 'Cds Possess With Intent To Distribute Marijuana/THC'
 'Cds:Possess With Intent Distribute:Heroin'
 'Cds Distribute - Other (Klonopin)' 'CDS DISTRIBUTE - OTHER (Marijuana)'
 'CDS DISTRIBUTE - OTHER (Alprazolam)'
 'CDS possession with intent to distribute Cocaine'
 'CDS POSS W/INT TO DIST Heroin'
 'CDS Possess With Intent To Distribute (5-fluoro-ADB)'
 'CDS POSS W/INT TO DIST (Marijuana THC)']",['Felony Circuit Court' nan 'Misdemeanor'],7F,
36,CR.6.204,"['BURGLARY-THIRD DEGREE' 'Burglary-Third Degree'
 'ATTEMPTED BURGLARY-THIRD DEGREE']",['Felony Circuit Court' nan],7F,
46,CR.5.602 (2),"['CDS: POSS W/I DIST: NARC' 'CDS: Poss W/I Dist: Narc'
 'CDS: Poss W/I Dist: Narc (Fentanyl)'
 'CDS: Poss W/I Dist: Narc (Oxycodone)'
 'CDS: Poss W/I Dist: Narc (Heroin)' 'CDS: Poss W/I Dist: Narc - COCAINE'
 'CDS: Poss W/I Dist: Narc (Cocaine)'
 'CDS: Poss W/I Dist: Narc (Crack Cocaine)' 'CDS: Poss W/I Dist: Heroin'
 'CDS: Poss W/I Dist: Narc Oxycodone' 'CDS: Poss W/I Dist: Fentanyl'
 'CDS: Poss W/I Dist: Narc - FENTANYL']",['Felony Circuit Court'],7F,
55,CR.5.602.(2),"['Cds:Posses With Intent Distribute:Narc' 'CDS:POSS W/INTENT DIST: NARC'
 'CDS:P W/I DIST:NARC' 'CDS POSS W/INT TO DIST'
 'Cds:Poss W/Intent Dist: Narc'
 'Cds:Posses With Intent Distribute:Narc/Oxycontin'
 'NARC-POS W/I MANU/DIS/DISP' 'Cds:Poss W/Intent Dist: Heroin'
 'Cds:Poss W/Intent Dist: Narc (Cocaine)'
 'Cds:Poss W/Intent Dist: Narc - Oxycodone'
 'Cds:Poss W/Intent Dist: Narc (PCP)'
 'Cds:Posses With Intent Distribute:Narc-COCAINE'
 'CDS: Poss W/I Dist: Narc' 'Cds:Poss W/Intent Dist: Narc (cocaine)'
 'CDS:Poss W/Intent Dist: Narc'
 'Cds:Posses With Intent Distribute:clonazepam'
 'Cds:Possess W/Intent to Distribute: Narcotic (Cocaine)'
 'Cds:Poss W/Intent Dist: Narc Cocaine'
 'Cds:Poss W/Intent Dist: Narc - Cocaine'
 'Cds:Posses With Intent Distribute:Narc Cocaine'
 'Cds:Posses With Intent Distribute:Narc/Cocaine'
 'Cds:Possess W/Intent Distribute: Narcotic (Cocaine)'
 'Cds:Posses With Intent Distribute: crack/cocaine'
 'Cds:Poss W/Intent Dist: Narc (crack cocaine)'
 'Cds:Poss W/Intent Dist: Narc (Heroin)'
 'Cds:Posses With Intent Distribute:Narc-Marijuania'
 'Cds:Posses With Intent Distribute:Narc (cocaine)'
 'Cds:Posses With Intent Distribute:Narc COCAINE'
 'Cds:Posses With Intent Distribute:Cocaine'
 'Cds:Poss W/Intent Dist: Crack Cocaine'
 'Cds:Poss W/Intent Dist: Narc (Crack Cocaine)'
 'Cds:Poss W/Intent Dist: Narc - heroin'
 'Cds:Poss W/Intent Dist: Narc (heroin)' 'Cds: Poss W/Intent Dist: Narc'
 'Cds:Poss W/Intent Dist: Cocaine']",['Felony Circuit Court' nan],7F,
90,CR.5.602.-2,"['CDS:POSS W/INTENT DIST: NARC' 'CDS:P W/I DIST:NARC'
 'CDS:POSS W/INTENT DIST: NARC Cocaine']",['Felony Circuit Court'],7F,
105,CR.5.602.(1),"['CDS MANUF/DIST-NARC' 'Cds Manufacture/Distribute-Narcotic'
 'Cds Distribute-Narcotic' 'Cds Distribute-Narcotic (Oxycodone)'
 'Cds Distribute-Narcotic (Cocaine)' 'Cds Distribute-Narcotic (Heroin)'
 'CDS DIST-NARC' 'Cds Manufacture/Distribute-Narcotic/Cocaine'
 'CDS MAN/DISTR/DISP - NARC' 'Cds Manufacture/Distribute-Cocaine'
 'Cds Manufacture/Distribute-Narcotic - COCAINE'
 'Cds Manufacture/Distribute-Narcotic (Cocaine)' 'CDS Dist-Narc'
 'Cds Distribute-Crack Cocaine' 'CDS Distribute-Narcotic (Heroin)'
 'ATT.CDS MANUF/DIST-NARC' 'Cds Manufacture/Distribute-Narcotic COCAINE'
 'Cds Manufacture/Distribute-Powder Cocaine' 'Cds Distribute-Methadone'
 'Cds Manufacture/Distribute-Narcotic-COCAINE'
 'Cds Manufacture/Distribute-Narcotic/COCAINE'
 'Cds Manufacture/Distribute-Narcotic Cocaine' 'Cds Distribute-Heroin'
 'Cds Manufacture/Distribute-Oxycodone'
 'Cds Manufacture/Distribute-Narcotic (cocaine)' 'Cds Distribute-MORPHINE'
 'Cds: Distribute-Narcotic' 'Cds Distribute - Cocaine'
 'Cds Manufacture/Distribute-Narcotic cocaine'
 'Cds Distribute-Narcotic-Heroin' 'Cds Distribute-Narcotic(Heroin)'
 'CDS Distribute-Narcotic' 'Cds Distribute - (Heroin)'
 'Cds Distribute-Narcotic (Acetomorphine)'
 'Cds Distribute-Narcotic (oxycodone)' 'Cds Distribute-Narcotic (heroin)']",[nan 'Felony Circuit Court'],7F,
117,CR.5.621.(b)(2),['CDS: DISTR ETC. W/FIREARM' 'Cds: Distribute Etc. With Firearm'],[nan 'Felony Circuit Court'],7F,
146,CR.5.612,"['Narcotic - Possess With Intent- Large Amount'
 'Cds Possess With Intent - Large Amount' 'CDS POSSESS - LG AMT'
 'CDS POSS W/INTENT - LG AMT' 'Cds Possess - Large Amount'
 'Narcotic - Possess With Intent- Large Amount CRACK COCAINE'
 'CDS POSSESS - LG AMT (Heroin)' 'CDS MANUFACTURE-LG AMOUNT'
 'CDS DIST/DISPENSE-LG AMT' 'CDS Possess - Large Amount']",['Felony Circuit Court' nan],7F,
150,CR.5.602(1),"['CDS DIST-NARC' 'CDS Dist-Narc' 'CDS Dist-Narc(Cocaine)'
 'CDS Dist-Narc (Cocaine)' 'CDS Dist-Narc (Fentanyl)'
 'CDS Dist-Narc Cocaine' 'CDS Dist-Narc (Methadone)']",['Felony Circuit Court'],7F,
161,CR.5.605,"['CDS:MAINT COM NUIS/MAKE, ETC' 'Common Nuisance/Distribute Cds'
 'Cds:Common Nuisance: Administer Narcotic-COCAINE'
 'CDS:COM NUIS: ADMIN NARC' 'Common Nuisance/Administer Cds'
 'COMM NUIS/DISTRIB CDS' 'COMM NUIS/ADMINISTER CDS'
 'CDS MAINT COM NUIS/MAKE'
 'Cds:Common Nuisance: Administer Narcotic (Heroin)'
 'CDS: COM NUIS: ADMIN PCP/LSD/H' 'CDS: COM NUIS: DIST. PCP/LSD/H'
 'CDS:COM NUIS: DIST. PCP/LSD'
 'CDS:COMMON NUISIANCE: ADMIN NARC (COCAINE)']",[nan 'Felony Circuit Court'],7F,
163,27 -286 - - -,"['CDS:P W/I DIST:NARC (CJIS 3 0233)'
 'CDS POS W/INT MAN/DIST/DIS CJIS Code: 1 0233'
 'CDS MANUF/DISTRIBUTE CJIS Code: 2 3550'
 'CDS MANUF/DIST-NARC (CJIS 2 0696)' 'CDS:POSS W/INT DIST (CJIS 1 0233)'
 'COMM NUIS/DISTRIB CDS CJIS Code: 1 0239'
 'CDS:P W/I DIST:NARC CJIS Code: 3 0233'
 'CDS MANUF/DIST-NARC CJIS Code: 2 0696'
 'CDS:COM NUIS: DIST. NARC CJIS Code: 2 0330'
 'CDS MANUF/DISTRIBUTE (CJIS 2 3550)'
 'CDS:POS W/I DIST:PCP/LSD (CJIS 2 0233)']",['Felony Circuit Court' 'Converted Degree'],7F,
175,CR.3.203.(c)(2),"['ASSAULT SEC DEG-LE/P&P/FIRE/EM' 'ASSAULT SEC DEG-LE/P/FIRE/EMS'
 'Assault Sec Deg-LE/P&P/Fire/EMS' 'Assault Sec Deg-Le/P&p/Fire/Ems']",['Felony District Court' 'Felony Circuit Court'],7F,
176,CR.3.203.-2,['ASSAULT SEC DEG-LAW ENFORCMENT' 'ASSAULT SEC DEG-LE OFF/P&P AG'],['Felony District Court'],7F,
182,CR.5.602.-1,"['CDS MANUF/DIST-NARC' 'CDS DIST-NARC' 'CDS DIST-NARC (Heroin)'
 'CDS DIST-NARC (Cocaine)' 'CDS DIST-NARC (HEROIN)']",['Felony Circuit Court'],7F,
216,CR.5.627.(a),"['CDS:SCHOOL BUS/PROPERTY ETC.' 'CDS:P W/I DIST: SCHL BUS/PROP'
 'Cds:Poss With Intent To Distribute: School Bus/Property'
 'Cds Distribute: School Property/Bus' 'CDS DIST:SCHOOL PROP/BUS']",[nan 'Felony Circuit Court'],7F,
219,CR.5.606,"['False Prescription With Intent To Distribute' 'False prescription'
 'FALSE PRESC WITH INTENT DIST']",['Felony Circuit Court' 'Converted Degree' nan],7F,
253,27.286.(a).(1),"['Cds Manufacture/Distribute-Narcotic' 'Cds Manufacture/Distribute'
 'Cds Manufacture/Distribute-MARIJUANA'
 'Cds Manufacture/Distribute-Narcotic COCAINE'
 'Cds: Manufacture/Distribute-Narcotic'
 'Cds Manufacture/Distribute-Narcotic-HEROIN'
 'Cds Manufacture/Distribute-Narcotic (COCAINE)']",['Felony Circuit Court'],7F,
309,27.31,['BURGLARY-THIRD DEGREE' 'Burglary-Third Degree'],['Felony Circuit Court'],7F,
335,CR.5.605.(a)(2),"['CDS:COM NUIS: DIST. NARC' 'Cds:Common Nuisance: Distribute Narcotic'
 'Cds:Common Nuisance: Distribute Narcotic Cocaine'
 'Cds:Common Nuisance: Distribute Narcotic (Heroin)'
 'Cds:Common Nuisance: Distribute Narcotic (Cocaine)'
 'Cds:Common Nuisance: Distribute Narcotic(Heroin)']",[nan 'Felony Circuit Court'],7F,
338,3-0233,['CDS:P W/I DIST:NARC'],['Felony Circuit Court'],7F,
349,CR.5.601(2),['CDS: POSS W/I DIST: NARC' 'CDS: Poss W/I Dist: Narc'],['Felony Circuit Court'],7F,
355,CR.5.605(a)(2),['CDS: COM NUIS: DIST. NARC' 'CDS: Com Nuis: Dist. Narc'],['Felony Circuit Court'],7F,
373,CR.9.414.(a)(4),"['POSS/REC WEAPON WHILE CONF/DET' 'Contraband-Receive Weapon'
 'Poss/Rec Weapon While Conf/Det']",['Felony Circuit Court'],7F,
393,27.286.(a).-1,"['CDS MANUF/DISTRIBUTE' 'CDS:MANUFAC/DISTRIBUTE/DISPENS'
 'CDS MANUF/DIST-NARC']",['Felony Circuit Court'],7F,
397,2-0696,['CDS MANUF/DIST-NARC'],['Felony Circuit Court'],7F,
421,CR -5-602 -2 - -,['CDS:P W/I DIST:NARC (CJIS 3_0233)'],['Felony Circuit Court' 'Converted Degree'],7F,
439,1-0233,['CDS POSS W/INT TO DIST'],['Felony Circuit Court'],7F,
513,CR -5-602 - - -,"['CON TO VIOLATE CONTR DANGER SUB LAW (CJIS 1c0233)'
 'CDS POSS W/INT TO DIST (CJIS 1_0233)' 'CDS MFG/DIST-OTHER (CJIS 2_3550)']",['Felony Circuit Court' 'Converted Degree'],7F,
530,CR.5.617.(a),['FAKE CDS: DIST/POSS W/I DIST'],['Felony Circuit Court'],7F,
574,CR.5.617.(a)(2),"['FAKE CDS: POSS W/I DIST' 'Fake CDS: Dist/Possess With Intent Distribute'
 'Fake Cds: Possess With Intent Distribute'
 'Fake Cds: Possess With Intent Distribute (heroin)']",[nan 'Felony Circuit Court'],7F,
613,27 -286 -F - -,"['NARC-MANU/DIST LARGE AMOUNT (CJIS 2 0230)'
 'CDS P W/I DIST NARC (CJIS 2 0231)']",['Felony Circuit Court'],7F,
639,27.286D,"['Cds Distribute: School Property/Bus'
 'CDS: Poss w/Int to Dist (Crack Cocaine)-School Property']",['Felony Circuit Court'],7F,
663,27 -12A-6 - - -,['ASSLT 2ND/DOC EMPLOYEE ETC. (CJIS 1 1440)'],['Felony Circuit Court'],7F,
713,27-286,"['CDS-UNLAWFUL MFRG, DIST, ETC.' 'Manufact/Distribute/Poss/PWID(27-286)']",['Converted Degree' 'Felony Circuit Court'],7F,
740,27.286.(a).(5),"['Cds:Common Nuisance: Distribute Narcotic'
 'Cds:Common Nuisance: Administer Narcotic']",['Felony Circuit Court'],7F,
793,5-602,['Manufact/Distribute/Poss/PWID(5-602)'],['Felony Circuit Court'],7F,
895,CR.5.608.1.(a),['Dist/Pwid Fentanyl/Heroin Mix'],['Felony Circuit Court'],7F,
913,CR -5-602 -1 - -,"['CDS MANUF/DIST-NARC (CJIS 2_0696)'
 'CONSPIRACY TO VIOLATE CDS LAWS (CJIS 2c0696)']",['Felony Circuit Court'],7F,
940,27.286..(a)(1),['Cds Manufacture/Distribute' 'Cds Manufacture/Distribute-Narcotic'],['Felony Circuit Court'],7F,
945,CR.5.604.(b)(2),['NARC/COUNTRFIT POS W/I DIS'],['Felony Circuit Court'],7F,
950,27.286B,['Fake Cds: Possess With Intent Distribute'],['Felony Circuit Court'],7F,
1075,2-3550,['CDS MANUF/DISTRIBUTE'],['Felony Circuit Court'],7F,
1152,6-204,['Burglary 3rd Deg. Dwell/Sths(6-204)'],['Felony Circuit Court'],7F,
1203,CR.5.601.(2),['CDS: Poss W/I Dist: Cocaine'],['Felony Circuit Court'],7F,
1553,CR.9.413.(a)(4),['Poss/Rec Contraband-Escape'],['Felony Circuit Court'],7F,
209,CR.9.414.(a)(4),"['POSS/REC WEAPON WHILE CONF/DET' 'Poss/Rec Weapon While Conf/Det'
  'Possess/Receive Weapon While Confined/Detained']",['Felony Circuit Court'],7F,
3,CR.3.203,"['ASSAULT-SEC DEGREE' 'Assault-Second Degree'
 'ASSAULT-SEC DEGREE- VOP Appeal' 'ASSAULT SECOND DEGREE'
 'ASSAULT-SEC DEGREE (VOP)'
 'Violation of Probation (Assault-Second Degree)'
 'ASSAULT-SEC DEGREE VOP Appeal' 'ASSAULT-SECOND DEGREE; CJIS#: 11415'
 'Assault-Second Degree (Violation of Probation)' 'Assault Second Degree'
 'VOP Assault-Second Degree']",[nan 'Misdemeanor'],7M,
29,27.12A,['ASSAULT-SEC DEGREE' 'Assault-Second Degree'],['Misdemeanor'],7M,
109,27 -12A - - -,"['SECOND DEGREE ASSAULT (CJIS 1 1415)'
 'SECOND DEGREE ASSAULT CJIS Code: 1 1415' 'ASSAULT SECOND DEGREE']",['Misdemeanor' 'Converted Degree'],7M,
158,CR.3.210,"['Assault Second Degree/Doc Employee Etc.' 'ASSLT 2ND/DOC EMPLOYEE ETC.'
 'ASSLT 1ST/DOC EMPLOYEE ETC.' 'Assault First Degree/Doc Employee Etc.']",['Misdemeanor' nan 'Felony Circuit Court'],7M,
187,27.286,"['Cds Possess With Intent To Distribute' 'COMM NUIS/DISTRIB CDS'
 'CDS Distribution (Cocaine)' 'Distribution-Marijuana'
 'CDS: Possess w/Int. to Distribute - Crack Cocaine'
 'CDS: Common Nuisance' 'Cds-Distribute' 'Felonious Possession Of Cocaine'
 'CDS POSS W/INT TO DIST' 'COMM NUIS/ADMINISTER CDS'
 'Cds:Posess With Intent Distribute Marijuana/THC'
 'Cds:Distribute Crack/Cocaine' 'Common Nuisance/Administer Cds'
 'Distribution of Cocaine' 'CDS:POSS W/INT MANF/DISTR/DISP'
 'Cds Poss W/Int To Dist' 'CDS Possession With Intent to Distribute'
 'Cds Possess With Intent To Distribute - Not a Narcotic'
 'CDS POS W/INT MAN/DIST/DIS' 'CDS MAINT COM NUIS/MAKE'
 'Narc/Countrfeit Possess With Intent Distribute'
 'Cds Possess With Intent To Distribute Cocaine'
 'Felonious Possession of Cocaine (Mandatory)'
 'Felonious Possession of Cocaine' 'Cds-Distribute-Crack/Cocaine'
 'Distribution of Crack-Cocaine' 'Cds:Distribute Marijuana'
 'Common Nuisance/Distribute Cds'
 'Distribution of Lysergic Acid Diethylamide'
 'Possession With Intent To Distribute Cocaine'
 'CDS: Possess w/Int. to Distribute-Crack Cocaine'
 'Cds-Distribute:Marijuana' 'Cds:Distribute-Marijuana']",['Felony Circuit Court' 'Misdemeanor'],7M,
217,1-1415,['ASSAULT-SEC DEGREE'],['Misdemeanor'],7M,
220,CR.9.416.b,['POSS/REC CDS WHILE CONF/DET' 'Poss/Rec Cds While Conf/Det'],['Misdemeanor' nan],7M,
226,CR.5.701.(d)(1),"['CDS PRES ILL POS W/IN DIST' 'CDS/PRESC:ILLEGAL MANUFAC'
 'Cds Prescription Illegal Possess With Intent To Distribute'
 'PRES ILL POS W/IN DIST' 'CDS-ILL. ACT/PRESCRIPTION DRUG'
 'PRESC:ILLEGAL MANUFAC'
 'Prescription Illegal Possess With Intent To Distribute(Lorazepam)']",[nan 'Misdemeanor'],7M,
227,CR -3-203 - - -,"['ASSAULT-SEC DEGREE (CJIS 1_1415)'
 'ASSAULT SEC DEGREE CONSPIRACY (CJIS 1c1415)'
 'STATUTORY ASSAULT SECOND DEGREE']",['Misdemeanor'],7M,
275,CR.9.416.(a)(1),['CDS-DELIVER-CONFINEMENT' 'Cds-Deliver-Confinement'],['Misdemeanor' nan],7M,
278,27.286.(a),"['CDS-POSS W/I MANUF/DIS/DISP-NA' 'Cds:Posses With Intent Distribute:Narc'
 'Cds:Posses With Intent Distribute:Narc COCAINE' 'CDS:P W/I DIST:NARC'
 'Cds:Posses With Intent Distribute:Narc-COCAINE']",['Felony Circuit Court'],7M,
291,27-12A,"['ASSAULT, 2ND DEGREE' 'Assault 2nd Degree(27-12A)']",['Converted Degree' 'Misdemeanor'],7M,
323,CR.9.412.(a)(2),['CONTRABAND POSS W/I DEL' 'Contraband Poss W/I Del'],['Misdemeanor' nan],7M,
414,3-203,['Assault 2nd Degree(3-203)'],['Misdemeanor'],7M,
438,CR.9.416.(a)(2),"['CDS-POSS W/I DEL CONFINEMENT'
 'Cds-Poss W/I Del Confinement (AB-CHMINACA)']",[nan 'Misdemeanor'],7M,
476,CR.9.417.(a)(4),"['POSS/REC TELECOMM DEVICE' 'POSS/REC TELECOM DEV'
 'Poss/Rec Telecomm Device' 'Possess/Receive Telecom Device'
 'Poss/Rec Telecom Dev']",[nan 'Misdemeanor'],7M,
553,27.12A6,['ASSLT 2ND/DOC EMPLOYEE ETC.' 'Assault Second Degree/Doc Employee Etc.'],['Misdemeanor'],7M,
573,4-204,['Use Handgun/Crime Of Viol/Comm(4-204)'],['Misdemeanor'],7M,
649,PS.3.502.(c),"['PERSONATION: UU/UNIFORM' 'IMPERSONATION: UU/UNIFORM'
 'Personation: Uu/Uniform']",[nan 'Misdemeanor'],7M,
652,27.287..(d)(2),"['Cds Possess Packaging Materials Manufacture, Distribution']",['Misdemeanor'],7M,
660,2B.1.201,['ALCOHOL UNLIC SALE/POSSESS' 'ALCOHOL UNLICENSED POSSESS'],['Misdemeanor' nan],7M,
730,CR.5.709.(b)(1)(2),['CDS POSS FOR DISTRIBUTION' 'CDS DIST TO INHALE' 'Cds Dist To Inhale'],[nan 'Misdemeanor'],7M,
746,BR.16.308,['SELL CIGARETTS W/O LICENSE'],[nan 'Misdemeanor'],7M,
772,27.284,['Cds-Distribute'],['Misdemeanor'],7M,
789,CR.5.303.(d),['Cds-Distribute'],['Misdemeanor'],7M,
795,CR.5.602.(a)(2),"['Cds Possess Packaging Materials Manufacture, Distribution']",['Misdemeanor'],7M,
817,27-284,['Distribution Of CDS(27-284)'],['Misdemeanor'],7M,
824,AB.6.304,['SELL ALC BEV UNDER 21'],['Misdemeanor'],7M,
1004,5-601(c)(1),['CDS Possess/Not Marijuana(5-601(c)(1))'],['Misdemeanor'],7M,
1007,BR.8.601.(c),['SELL HOME IMPRV W/O LICENS'],[nan 'Misdemeanor'],7M,
1179,27.287.(d).(1),['Cds: Possess/Distribute To - Administer Equipment'],['Misdemeanor'],7M,
1184,2C0696,['CON-CDS MANUF/DIST-NARC'],['Misdemeanor'],7M,
1192,3C0233,['CON-CDS:P W/I DIST:NARC'],['Misdemeanor'],7M,
848,CR.8.207.(a)(2),['CRD CRD FALSE CLM-SL L/T $500' 'CRD CRD FLS CLM SELL + $500'],['Misdemeanor' 'Felony District Court'],7M,
294,CR.9.412.(a)(2),"['CONTRABAND POSS W/I DEL' 'Contraband Poss W/I Del'
  'Contraband Possess With Intent to Deliver' 'Contraband Poss']",['Misdemeanor'],7M,
621,CR.9.416.(a)(1),['Cds-Deliver-Confinement' 'CDS-DELIVER-CONFINEMENT'],['Misdemeanor'],7M,
331,CR.9.416.(a)(2),"['Cds-Poss W/I Del Confinement (Heroin and Marijuana)'
  'CDS-POSS W/I DEL CONFINEMENT' 'Cds-Poss W/I Del Confinement'
  'Cds-Possess With Intent to Deliver Confinement (Buprenorphine)'
  'Cds-Possess With Intent to Deliver Confinement (XLR-11)'
  'CDS-POSS W/I DEL CONFINEMENT Buprenorphine']",['Misdemeanor'],7M,
191,CR.9.416.b,"['POSS/REC CDS WHILE CONF/DET' 'Poss/Rec Cds While Conf/Det'
  'Possess/Receive Cds While Confinement/Detained'
  'Poss/Rec Cds While Conf/Det (Heroin)']",['Misdemeanor'],7M,
306,CR.9.417.(a)(4),"['POSS/REC TELECOMM DEVICE' 'POSS/REC TELECOM DEV'
  'Poss/Rec Telecomm Device']",['Misdemeanor'],7M,
533,PS.3.502.(c),"['PERSONATION: UU/UNIFORM' 'Impersonation: Uu/Uniform'
  'PERSONATION:UU/UNIFORM' 'Personation: Uu/Uniform'
  'Impersonation:Uu/Uniform']",['Misdemeanor'],7M,
,,,,,
8,ED.7.301,"['SCHOOL:FAIL SEND CHILD' 'SCHOOL INDUCE/ATT ABSENCE'
 'SCHOOL: FAIL SEND CHILD' 'School:Fail Send Child'
 'HARBOR/EMPLY CHILD-SCH HRS']",['Misdemeanor' nan],Ineligible,
14,CR.10.604.(a)(5),['ANIMAL CRUEL FAIL: PROVIDE' 'Animal Cruel Fail: Provide'],[nan 'Misdemeanor'],Ineligible,
